#,Team
114,Eaglestrike
199,Deep Blue
701,RoboVikes
841,The BioMechs
1072,Harker Robotics
1662,Raptor Force Engineering
1671,Buchanan Bird Brains
1678,Citrus Circuits
2073,EagleForce
2135,Presentation Invasion
2288,Hydra Robotics
2551,Penguin Empire
2643,Dark Matter
3189,Circuit Breakers
3257,Vortechs
3598,SEStematic Eliminators
3859,Wolfpack Robotics
4643,Butte Built Bots
4698,Raider Robotics
5274,Wolverines
5430,Pirate Robolution
5458,Digital Minds
5700,SOTA Cyberdragons
5817,Uni-Rex
5924,The Golden Gate Robotics
5940,BREAD
6059,System Overload Robotics
6662,FalconX
6884,Deep-Space Robotics
6918,Napa Cellar Rats
7419,QLS Tech Support
7528,Nuts and Bolts
7777,Septobots
8016,Eco Robotics
8048,East Palo Alto Churrobots